company_name,email,phone,city,state,website,industry,reviews_count,reviews_rating
Amelia Gene's,hello@ameliagenes.com,901-505-1519,Memphis,TN,https://ameliagenes.com,Restaurant,,
Bishop,bishop@arrivehotels.com,901-896-0228,Memphis,TN,https://bishopmemphis.com,Restaurant,,
Complicated Pilgrim,marketing@chefkellyenglish.com,901-590-2828,Memphis,TN,https://complicatedpilgrim.com,Restaurant,,
Catherine and Mary's,info@catherineandmarys.com,901-512-6700,Memphis,TN,https://catherineandmarys.com,Restaurant,,
Cameo,info@cameomemphis.com,901-729-7585,Memphis,TN,https://cameomemphis.com,Lounge,,
Dory,info@dorymemphis.com,901-453-9200,Memphis,TN,https://dorymemphis.com,Restaurant,,
Ecco on Overton Park,info@eccoonovertonpark.com,901-410-8200,Memphis,TN,https://eccoonovertonpark.com,Restaurant,,
Fino's From The Hill,finosfromthehill@gmail.com,901-276-5141,Memphis,TN,,Restaurant,,
Hen House Wine Bar,info@henhousememphis.com,901-310-6985,Memphis,TN,https://henhousememphis.com,Nightlife,,
Kinfolk,hello@kinfolkmemphis.com,901-207-4065,Memphis,TN,https://kinfolkmemphis.com,Restaurant,,
Knifebird Wine,hello@knifebirdwine.com,901-443-5317,Memphis,TN,https://knifebirdwine.com,Restaurant,,
Limelight,info@limelightmemphis.com,901-425-5265,Memphis,TN,https://limelightmemphis.com,Restaurant,,
Lotus Vietnamese,lotusmemphis@gmail.com,901-207-1669,Memphis,TN,,Restaurant,,
Molly's La Casita,mollyslacasita@gmail.com,901-763-8632,Memphis,TN,,Restaurant,,
Moondance Grill,info@moondancegrill.com,901-207-4097,Memphis,TN,https://moondancegrill.com,Restaurant,,
Old Dominick Dining,info@olddominick.com,901-260-1250,Memphis,TN,https://olddominick.com,Restaurant,,
Petals of a Peony,info@petalsofapeony.com,901-552-3036,Memphis,TN,https://petalsofapeony.com,Restaurant,,
Railgarten,info@railgarten.com,901-729-8340,Memphis,TN,https://railgarten.com,Restaurant,,
Salt Soy,info@saltsoy.com,901-207-4947,Memphis,TN,https://saltsoy.com,Restaurant,,
Slider Inn,info@sliderinn.com,901-244-8940,Memphis,TN,https://sliderinn.com,Restaurant,,
South of Beale,info@southofbeale.com,901-526-0388,Memphis,TN,https://southofbeale.com,Restaurant,,
StickEm,stickemmemphis@gmail.com,901-649-9057,Memphis,TN,,Restaurant,,
The Lobbyist,hello@thelobbyistmemphis.com,901-519-7425,Memphis,TN,https://thelobbyistmemphis.com,Restaurant,,
The Second Line,marketing@chefkellyenglish.com,901-590-2829,Memphis,TN,https://secondlinememphis.com,Restaurant,,
The Memphis Whistle,info@memphiswhistle.com,901-343-0103,Memphis,TN,https://memphiswhistle.com,Restaurant,,
Tin Roof Memphis,memphis@tinroofbars.com,901-527-9919,Memphis,TN,https://tinroofmemphis.com,Nightlife,,
Tonica,info@tonicamemphis.com,901-552-4582,Memphis,TN,https://tonicamemphis.com,Restaurant,,
Trolley Stop Market,trolleystopmemphis@gmail.com,901-526-9300,Memphis,TN,,Restaurant,,
Two Girls and a Whip,twogirlsandawhip@gmail.com,901-207-1148,Memphis,TN,,Restaurant,,
Wolf River Brisket,info@wolfriverbrisket.com,901-443-5181,Memphis,TN,https://wolfriverbrisket.com,Restaurant,,
901 Hotpot & Korean BBQ,901hotpot@gmail.com,901-590-1288,Memphis,TN,,Restaurant,,
Acre Restaurant,info@acrememphis.com,901-818-2273,Memphis,TN,https://acrememphis.com,Restaurant,,
Alchemy Memphis,alchemymemphis@gmail.com,901-612-4515,Memphis,TN,,Lounge,,
Babalu Tapas & Tacos,info@eatbabalu.com,901-207-1215,Memphis,TN,https://eatbabalu.com,Restaurant,,
Brookhaven Pub & Grill,brookhavenpub@gmail.com,901-680-8118,Memphis,TN,,Restaurant,,
By The Brewery,info@bythebrewery.com,901-207-2739,Memphis,TN,https://bythebrewery.com,Restaurant,,
Cafe Eclectic,cafeeclectic@gmail.com,901-410-0765,Memphis,TN,,Restaurant,,
Char Memphis,memphis@charrestaurant.com,901-249-3533,Memphis,TN,https://charrestaurant.com,Restaurant,,
Chef Tam's Underground Cafe,cheftamscafe@gmail.com,901-207-2598,Memphis,TN,,Restaurant,,
Crumpy's Hot Wings,info@crumpyswings.com,901-207-4896,Memphis,TN,https://crumpyswings.com,Restaurant,,
Elwood's Shack,elwoodsshack@gmail.com,901-207-0328,Memphis,TN,,Restaurant,,
Half Shell Seafood,halfshellmemphis@gmail.com,901-682-3960,Memphis,TN,,Restaurant,,
Loflin Yard,events@loflinyard.com,901-446-4352,Memphis,TN,https://loflinyard.com,Restaurant,,
Maciel's Tortas & Tacos,maciels901@gmail.com,901-443-5175,Memphis,TN,,Restaurant,,
Memphis Chess Club Cafe,info@memphischessclub.com,901-729-6259,Memphis,TN,https://memphischessclub.com,Restaurant,,
Memphis Mojo Cafe,memphismojocafe@gmail.com,901-590-1598,Memphis,TN,,Restaurant,,
Memphis Pizza Cafe,info@memphispizzacafe.com,901-722-5658,Memphis,TN,https://memphispizzacafe.com,Restaurant,,
New Daisy Restaurant Group,info@newdaisy.com,901-525-8981,Memphis,TN,https://newdaisy.com,Restaurant,,
Panta Breakfast Bar,pantabreakfastbar@gmail.com,901-552-3497,Memphis,TN,,Restaurant,,
RP Tracks,rptracks@gmail.com,901-725-9075,Memphis,TN,,Restaurant,,
Soul Fish Cafe,info@soulfishcafe.com,901-725-0722,Memphis,TN,https://soulfishcafe.com,Restaurant,,
Swanky's Taco Shop,info@swankys.com,901-509-2367,Memphis,TN,https://swankys.com,Restaurant,,
The Genre Midtown,thegenrememphis@gmail.com,901-729-7580,Memphis,TN,,Lounge,,
The Lookout at the Pyramid,info@bigcipresstradingpost.com,901-291-8200,Memphis,TN,https://bigcyresstradingpost.com,Restaurant,,
The Wing Guru,info@thewingguru.com,901-552-2455,Memphis,TN,https://thewingguru.com,Restaurant,,
Victoria's Mexican Kitchen,victoriasmexicankitchen@gmail.com,901-207-1388,Memphis,TN,,Restaurant,,
Wally Hatchet's,info@wallyhatchets.com,901-729-7151,Memphis,TN,https://wallyhatchets.com,Restaurant,,
Wiseacre Downtown Kitchen,info@wiseacrebrew.com,901-888-7000,Memphis,TN,https://wiseacrebrew.com,Restaurant,,
