company_name,email,phone,city,state,website,industry,reviews_count,reviews_rating
Central BBQ,eblondis@cbqmemphis.com,901-767-4672,Memphis,TN,centralbbq.com,restaurant,450,4.5
Flight Restaurant & Wine Bar,flightmemphis@gmail.com,901-521-8005,Memphis,TN,flightmemphis.com,restaurant,320,4.7
Cocozza American Italian,info@cocozzamemphis.com,901-609-1111,Memphis,TN,cocozzamemphis.com,restaurant,180,4.8
The Liquor Store,east@theliquorstorediner.com,901-405-5477,Memphis,TN,theliquorstorediner.com,restaurant,290,4.6
Bog & Barley,events@brazenrestaurantgroup.com,901-805-2262,Memphis,TN,bogandbarley.com,restaurant,210,4.5
Restaurant Iris,marketing@chefkellyenglish.com,901-590-2828,Memphis,TN,restaurantiris.com,restaurant,380,4.9
Global Cafe,info@globalcafememphis.com,901-500-8550,Memphis,TN,,restaurant,95,4.4
Tamboli's,eat@tambolis.com,901-410-8866,Memphis,TN,tambolis.com,restaurant,140,4.6
Vice & Virtue Coffee,roast@vicevirtuecoffee.com,901-402-8002,Memphis,TN,,restaurant,88,4.7
Hog & Hominy,darrin@enjoyam.com,901-207-7396,Memphis,TN,hogandhominy.com,restaurant,270,4.6
Las Tortugas,contactus@delimexicana.com,901-327-6868,Memphis,TN,delimexicana.com,restaurant,310,4.8
The Culinary Experience,contact@tcememphis.com,901-631-3018,Memphis,TN,tcememphis.com,restaurant,75,4.5
Good Groceries Cafe,EatGoodGroceries@outlook.com,901-325-1269,Memphis,TN,goodgroceriesmemphis.com,restaurant,62,4.3
Sage Memphis,sagememphis94@gmail.com,901-672-7902,Memphis,TN,,restaurant,110,4.5
Rendezvous,anna@hogsfly.com,901-523-2746,Memphis,TN,hogsfly.com,restaurant,890,4.4
McEwen's,mcewensonmonroe@bellsouth.net,901-527-7085,Memphis,TN,mcewensmemphis.com,restaurant,245,4.3
Uncle Lou's,louismartin641@gmail.com,901-332-2367,Memphis,TN,,restaurant,190,4.6
Serv Restaurant,serv@info.com,901-265-8804,Memphis,TN,,restaurant,85,4.2
Westy's,TheNorthEnd@comcast.net,901-525-5961,Memphis,TN,,restaurant,120,4.0
Bar-B-Q Shop,hvernon001@aol.com,901-272-1277,Memphis,TN,,restaurant,155,4.1
