company_name,email,phone,city,state,website,industry,reviews_count,reviews_rating
Gus's World Famous Fried Chicken,,(901) 527-4877,Memphis,TN,,restaurant,3736,4.5
Charlie Vergos' Rendezvous,,(901) 523-2746,Memphis,TN,,restaurant,2907,3.6
Central BBQ,,(901) 672-7760,Memphis,TN,,restaurant,2660,3.9
Blues City Cafe,,(901) 526-3637,Memphis,TN,,restaurant,1985,4.0
Central BBQ,,(901) 754-2216,Memphis,TN,,restaurant,1805,4.1
Flight Restaurant and Wine Bar,,(901) 521-8005,Memphis,TN,,restaurant,1662,4.6
B.B. King's Blues Club,,(901) 524-5464,Memphis,TN,,restaurant,1510,4.0
Brother Juniper's,,(901) 324-0144,Memphis,TN,,restaurant,1436,4.5
Corky's Ribs & BBQ,,(901) 685-9744,Memphis,TN,,restaurant,1392,4.0
Germantown Commissary,,(901) 754-5540,Germantown,TN,,restaurant,1318,4.0
Memphis Barbecue,,(662) 536-3762,Horn Lake,MS,,restaurant,1225,4.0
Elwood's Shack,,(901) 761-9898,Memphis,TN,,restaurant,1168,4.5
Sunrise Memphis,,(901) 552-3168,Memphis,TN,,restaurant,1108,4.6
Arcade Restaurant,,(901) 526-5757,Memphis,TN,,restaurant,1002,3.2
The Bar-B-Q Shop,,(901) 272-1277,Memphis,TN,,restaurant,903,4.0
The Majestic Grille,,(901) 522-8555,Memphis,TN,,restaurant,899,4.0
Babalu,,(901) 274-0100,Memphis,TN,,restaurant,899,4.1
Gus's World Famous Fried Chicken,,(901) 767-2323,Memphis,TN,,restaurant,898,4.3
Kooky Canuck,,(901) 578-9800,Memphis,TN,,restaurant,850,4.0
Beauty Shop Restaurant,,(901) 272-7111,Memphis,TN,,restaurant,759,4.0
SOB Downtown,,(901) 370-2144,Memphis,TN,,restaurant,700,4.0
Staks Pancake Kitchen - Memphis,,(901) 509-2367,Memphis,TN,,restaurant,688,3.6
Uncle Lous Fried Chicken,,(901) 332-2367,Memphis,TN,,restaurant,679,4.2
Coastal Fish Company,,(901) 266-9000,Memphis,TN,,restaurant,665,4.5
McEwen's Memphis,,(901) 527-7085,Memphis,TN,,restaurant,658,4.4
